,STYLE_NAME,'BEER_STYLE',COUNTS
0,LAGER,BEER_STYLE,8
1,ALE,BEER_STYLE,8
2,READY TO DRINK (RTD) or PRE-MIX COCKTAIL,BEER_STYLE,8
3,DOPPELBOCK,BEER_MICRO,75
4,VIENNA LAGER,BEER_MICRO,75
5,ALTBIER,BEER_MICRO,75
6,BLONDE ALE,BEER_MICRO,75
7,MILK STOUT,BEER_MICRO,75
8,HEFEWEIZEN,BEER_MICRO,75
9,WEIZENBOCK,BEER_MICRO,75
10,RED ALE,BEER_MICRO,75
11,SCOTTISH ALE,BEER_MICRO,75
12,KELLERBIER or ZWICKELBIER,BEER_MICRO,75
13,BELGIAN IPA,BEER_MICRO,75
14,WITBIER,BEER_MICRO,75
15,BIERE DE GARDE,BEER_MICRO,75
16,WILD ALE,BEER_MICRO,75
17,STEAM BEER or CALIFORNIA COMMON,BEER_MICRO,75
18,SAVORY,FLAVOR_BROAD,5
19,TROPICAL,FLAVOR_STYLE,57
20,ALMOND,FLAVOR_STYLE,57
21,MANGO,FLAVOR_STYLE,57
22,FRUIT PUNCH,FLAVOR_STYLE,57
23,BANANA,FLAVOR_STYLE,57
24,GRAPEFRUIT,FLAVOR_STYLE,57
25,RASPBERRY,FLAVOR_STYLE,57
26,TOMATO,FLAVOR_STYLE,57
27,MAPLE,FLAVOR_STYLE,57
28,GIN,SPIRITS_BROAD,13
29,TEQUILA,SPIRITS_BROAD,13
30,MEZCAL,SPIRITS_BROAD,13
31,IRISH WHISKY,SPIRITS_TYPE,77
32,COMPOUNDED GIN,SPIRITS_TYPE,77
33,PISCO,SPIRITS_TYPE,77
34,KIRSCHWASSER,SPIRITS_TYPE,77
35,GRAPPA BRANDY,SPIRITS_TYPE,77
36,PEPPERMINT SCHNAPPS,SPIRITS_TYPE,77
37,ANISE,SPIRITS_TYPE,77
38,ROCK AND BOURBON,SPIRITS_TYPE,77
39,GRAPPA,WINE_VARIETAL,211
40,EAU DE VIE,WINE_VARIETAL,211
41,CHIANTI,WINE_VARIETAL,211
42,CLARET,WINE_VARIETAL,211
43,TREBBIANO,WINE_VARIETAL,211
44,MEAD,WINE_VARIETAL,211
45,CHARDONEL,WINE_VARIETAL,211
46,ISABELLA,WINE_VARIETAL,211
47,TANNAT,WINE_VARIETAL,211
48,MUSCADET,WINE_VARIETAL,211
49,KATELYN,WINE_VARIETAL,211
50,ST. CROIX,WINE_VARIETAL,211
51,PETITE SIRAH,WINE_VARIETAL,211
52,ERBALUCE,WINE_VARIETAL,211
53,AMERICAN PALE ALE,BEER_MICRO,75
54,ENGLISH PALE ALE,BEER_MICRO,75
55,FRUIT,FLAVOR_BROAD,5
56,APPLE,FLAVOR_STYLE,57
57,LEMON,FLAVOR_STYLE,57
58,KIWI,FLAVOR_STYLE,57
59,BOURBON WHISKY,SPIRITS_TYPE,77
60,SCOTCH WHISKY,SPIRITS_TYPE,77
61,IMMATURE BRANDY,SPIRITS_TYPE,77
62,RESIDUE BRANDY,SPIRITS_TYPE,77
63,NEUTRAL BRANDY,SPIRITS_TYPE,77
64,VERMOUTH,WINE_STYLE,13
65,MEDIUM SWEET,WINE_SUBSTYLE,18
66,NIGORI,WINE_SUBSTYLE,18
67,NAMA,WINE_SUBSTYLE,18
68,JUKUSHU,WINE_SUBSTYLE,18
69,CHENIN BLANC,WINE_VARIETAL,211
70,FRASCATI,WINE_VARIETAL,211
71,LAMBRUSCO,WINE_VARIETAL,211
72,VERDICCHIO,WINE_VARIETAL,211
73,EISWEIN,WINE_VARIETAL,211
74,EHRENFELSER,WINE_VARIETAL,211
75,FRONTENAC GRIS,WINE_VARIETAL,211
76,BEAUJOLAIS,WINE_VARIETAL,211
77,CABERNET SEVERNYI,WINE_VARIETAL,211
78,TORRONTÉS,WINE_VARIETAL,211
79,GARGANEGA,WINE_VARIETAL,211
80,LANDOT NOIR,WINE_VARIETAL,211
81,MANZANILLA,WINE_VARIETAL,211
82,SAUTERNS,WINE_VARIETAL,211
83,SOAVE,WINE_VARIETAL,211
84,STEEN,WINE_VARIETAL,211
85,PINOT MEUNIER,WINE_VARIETAL,211
86,MARQUIS,WINE_VARIETAL,211
87,NOIRET,WINE_VARIETAL,211
88,HIBISCUS,FLAVOR_STYLE,57
89,ALIGOTÉ,WINE_VARIETAL,211
90,BAROLO,WINE_VARIETAL,211
91,RETSINA,WINE_VARIETAL,211
92,CHÂTEAUNEUF-DU-PAPE,WINE_VARIETAL,211
93,STEUBEN,WINE_VARIETAL,211
94,CONCORD,WINE_VARIETAL,211
95,DORNFELDER,WINE_VARIETAL,211
96,CALVADOS,SPIRITS_TYPE,77
97,GREEN HUNGARIAN,WINE_VARIETAL,211
98,KOMBUCHA,BEER_STYLE,8
99,MAIBOCK or HELLES BOCK,BEER_MICRO,75
100,MARZEN or OKTOBERFEST,BEER_MICRO,75
101,RAUCHBIER,BEER_MICRO,75
102,AMERICAN LAGER,BEER_MICRO,75
103,ADJUNCT LAGER,BEER_MICRO,75
104,HELLES,BEER_MICRO,75
105,DORTMUNDER,BEER_MICRO,75
106,IMPERIAL or DOUBLE IPA,BEER_MICRO,75
107,SAISON,BEER_MICRO,75
108,DUNKELWEIZEN,BEER_MICRO,75
109,SAHTI,BEER_MICRO,75
110,BELGIAN PALE ALE,BEER_MICRO,75
111,KRISTALLWEIZEN,BEER_MICRO,75
112,TRIPEL,BEER_MICRO,75
113,IMPERIAL STOUT,BEER_MICRO,75
114,WINTER WARMER,BEER_MICRO,75
115,BLACK IPA or CASCADIAN DARK ALE,BEER_MICRO,75
116,MILD ALE,BEER_MICRO,75
117,WHEATWINE,BEER_MICRO,75
118,NEW ENGLAND IPA,BEER_MICRO,75
119,MIXED,FLAVOR_BROAD,5
120,SWEET,FLAVOR_BROAD,5
121,BLACK CHERRY,FLAVOR_STYLE,57
122,BLUE RASPBERRY,FLAVOR_STYLE,57
123,CHERRY,FLAVOR_STYLE,57
124,CHOCOLATE,FLAVOR_STYLE,57
125,PINEAPPLE,FLAVOR_STYLE,57
126,BLUEBERRY,FLAVOR_STYLE,57
127,BUTTERSCOTCH,FLAVOR_STYLE,57
128,TANGERINE,FLAVOR_STYLE,57
129,PUMPKIN,FLAVOR_STYLE,57
130,GRAPE  ,FLAVOR_STYLE,57
131,HUCKLEBERRY,FLAVOR_STYLE,57
132,RUM,SPIRITS_BROAD,13
133,BITTERS,SPIRITS_BROAD,13
134,LIQUEUR or CORDIAL,SPIRITS_BROAD,13
135,VODKA,SPIRITS_TYPE,77
136,GRAIN SPIRITS,SPIRITS_TYPE,77
137,WHEAT WHISKY,SPIRITS_TYPE,77
138,MALT WHISKY,SPIRITS_TYPE,77
139,RYE MALT WHISKY,SPIRITS_TYPE,77
140,MALT MASH WHISKY,SPIRITS_TYPE,77
141,BLENDED RYE WHISKY,SPIRITS_TYPE,77
142,RAISIN BRANDY,SPIRITS_TYPE,77
143,SUBSTANDARD BRANDY,SPIRITS_TYPE,77
144,SLUE GIN,SPIRITS_TYPE,77
145,WHEAT MASH WHISKY,SPIRITS_TYPE,77
146,STRIAGHT CORN WHISKY,SPIRITS_TYPE,77
147,ROCK AND RUM,SPIRITS_TYPE,77
148,STRAIGHT RYE WHISKY,SPIRITS_TYPE,77
149,APPLE BRANDY,SPIRITS_TYPE,77
150,BLENDED RYE MALT WHISKY,SPIRITS_TYPE,77
151,FRUIT BRANDY,SPIRITS_TYPE,77
152,CREME DE,SPIRITS_TYPE,77
153,STRAIGHT MALT WHISKY,SPIRITS_TYPE,77
154,POMACE or MARC BRANDY,SPIRITS_TYPE,77
155,RUM LIQUEUR or CORDIAL,SPIRITS_TYPE,77
156,DRIED FRUIT BRANDY,SPIRITS_TYPE,77
157,BLEND,WINE_STYLE,13
158,SAKE,WINE_STYLE,13
159,MARSALA,WINE_STYLE,13
160,COMMANDARIA,WINE_STYLE,13
161,FULL BODY,WINE_SUBSTYLE,18
162,DRY,WINE_SUBSTYLE,18
163,AROMATIC,WINE_SUBSTYLE,18
164,ARNEIS,WINE_VARIETAL,211
165,BANYLUS,WINE_VARIETAL,211
166,BLANC DE NOIRS,WINE_VARIETAL,211
167,BLUSH,WINE_VARIETAL,211
168,BOAL,WINE_VARIETAL,211
169,BRUNELLO,WINE_VARIETAL,211
170,CHARBONO,WINE_VARIETAL,211
171,DOLCETTO,WINE_VARIETAL,211
172,GATTINARA,WINE_VARIETAL,211
173,MADEIRA,WINE_VARIETAL,211
174,MALBEC,WINE_VARIETAL,211
175,PORT,WINE_VARIETAL,211
176,CHOKECHERRY,WINE_VARIETAL,211
177,MARC,WINE_VARIETAL,211
178,MERITAGE,WINE_VARIETAL,211
179,ROSÉ,WINE_VARIETAL,211
180,CASTEL,WINE_VARIETAL,211
181,CAYUGA (WHITE),WINE_VARIETAL,211
182,LUCIE KUHLMANN,WINE_VARIETAL,211
183,PETIT MANSENG,WINE_VARIETAL,211
184,PETITE MILO,WINE_VARIETAL,211
185,ROUGEON,WINE_VARIETAL,211
186,VALDIGUIÉ,WINE_VARIETAL,211
187,NIAGARA,WINE_VARIETAL,211
188,POMEGRANATE,WINE_VARIETAL,211
189,ST. PEPIN,WINE_VARIETAL,211
190,SAUVIGNON BLANC,WINE_VARIETAL,211
191,PERIQUITA,WINE_VARIETAL,211
192,RAYON D'OR,WINE_VARIETAL,211
193,AUSLESE,WINE_VARIETAL,211
194,ARAK,WINE_VARIETAL,211
195,CATAWBA,WINE_VARIETAL,211
196,MELON DE BOURGOGNE,WINE_VARIETAL,211
197,TRAMINETTE,WINE_VARIETAL,211
198,TRIOMPHE D’ALSACE,WINE_VARIETAL,211
199,ZWEIGELT,WINE_VARIETAL,211
200,VIVANT,WINE_VARIETAL,211
201,VERMENTINO,WINE_VARIETAL,211
202,RIESLING,WINE_VARIETAL,211
203,VIGNOLES,WINE_VARIETAL,211
204,MARECHAL FOCH,WINE_VARIETAL,211
205,SYRAH,WINE_VARIETAL,211
206,ROBUST PORTER,BEER_MICRO,75
207,LIGHT LAGER,BEER_MICRO,75
208,MELON,FLAVOR_STYLE,57
209,BLENDED MALT WHISKY,SPIRITS_TYPE,77
210,SAMBUCA,SPIRITS_TYPE,77
211,BOURBON MASH WHISKY,SPIRITS_TYPE,77
212,KUNSHU,WINE_SUBSTYLE,18
213,AMARONE,WINE_VARIETAL,211
214,ASTI SPUMANTE,WINE_VARIETAL,211
215,BARDOLINO,WINE_VARIETAL,211
216,GAMAY BEAUJOLAIS,WINE_VARIETAL,211
217,GRENACHE,WINE_VARIETAL,211
218,MERLOT,WINE_VARIETAL,211
219,MOURVEDRE,WINE_VARIETAL,211
220,PRIMITIVO,WINE_VARIETAL,211
221,PINOT GRIS,WINE_VARIETAL,211
222,ZINFANDEL,WINE_VARIETAL,211
223,MULLED WINE,WINE_VARIETAL,211
224,REFOSCO,WINE_VARIETAL,211
225,COROT NOIR,WINE_VARIETAL,211
226,CRIANZA,WINE_VARIETAL,211
227,FRONTENAC,WINE_VARIETAL,211
228,GRÜNER VELTLINER,WINE_VARIETAL,211
229,RKATSITELI,WINE_VARIETAL,211
230,SIEGFRIED,WINE_VARIETAL,211
231,CHAMBOURCIN,WINE_VARIETAL,211
232,SHIRAZ,WINE_VARIETAL,211
233,STAR THISTLE HONEY MEAD,WINE_VARIETAL,211
234,GEWÜRZTRAMINER,WINE_VARIETAL,211
235,ROUSSANNE,WINE_VARIETAL,211
236,CANNONAU,WINE_VARIETAL,211
237,HYBRID or SPECIALTY BEER,BEER_STYLE,8
238,CIDER,BEER_STYLE,8
239,SCHWARZBIER,BEER_MICRO,75
240,PILSNER or PILSENER,BEER_MICRO,75
241,AMERICAN IPA,BEER_MICRO,75
242,KOLSCH,BEER_MICRO,75
243,OATMEAL STOUT,BEER_MICRO,75
244,IMPERIAL or BALTIC PORTER,BEER_MICRO,75
245,GRISETTE,BEER_MICRO,75
246,BRETT,BEER_MICRO,75
247,BERLINER WEISSE,BEER_MICRO,75
248,OLD ALE,BEER_MICRO,75
249,SOUR ALE,BEER_MICRO,75
250,VARIETY,FLAVOR_BROAD,5
251,BLACKBERRY,FLAVOR_STYLE,57
252,CRANBERRY,FLAVOR_STYLE,57
253,ORANGE,FLAVOR_STYLE,57
254,PEAR,FLAVOR_STYLE,57
255,WATERMELON,FLAVOR_STYLE,57
256,COLA,FLAVOR_STYLE,57
257,VANILLA,FLAVOR_STYLE,57
258,MACADAMIA,FLAVOR_STYLE,57
259,ACAI,FLAVOR_STYLE,57
260,CHERRY LIMEADE,FLAVOR_STYLE,57
261,CUCUMBER,FLAVOR_STYLE,57
262,MINT,FLAVOR_STYLE,57
263,LICORICE,FLAVOR_STYLE,57
264,PAPAYA,FLAVOR_STYLE,57
265,WHISKY,SPIRITS_BROAD,13
266,BRANDY,SPIRITS_BROAD,13
267,DISTILLED SPIRITS SPECIALTY,SPIRITS_BROAD,13
268,RYE WHISKY,SPIRITS_TYPE,77
269,STRIAGHT BOURBON WHISKY,SPIRITS_TYPE,77
270,LIGHT WHISKY,SPIRITS_TYPE,77
271,REDISTILLED GIN,SPIRITS_TYPE,77
272,CURACAO,SPIRITS_TYPE,77
273,TRIPLE SEC,SPIRITS_TYPE,77
274,BLENDED STRIAGHT WHISKY,SPIRITS_TYPE,77
275,ROCK AND BRANDY,SPIRITS_TYPE,77
276,ARAK,SPIRITS_TYPE,77
277,OUZO,SPIRITS_TYPE,77
278,WHITE,WINE_STYLE,13
279,ALBARIÑO,WINE_VARIETAL,211
280,CABERNET FRANC,WINE_VARIETAL,211
281,PINOT BLANC,WINE_VARIETAL,211
282,PINOT GRIGIO,WINE_VARIETAL,211
283,SÉMILLON,WINE_VARIETAL,211
284,ALICANTE BOUSCHET,WINE_VARIETAL,211
285,CONSTANTIA,WINE_VARIETAL,211
286,DE CHAUNAC,WINE_VARIETAL,211
287,DELAWARE,WINE_VARIETAL,211
288,CAVA,WINE_VARIETAL,211
289,ST. VINCENT,WINE_VARIETAL,211
290,VERDELHO,WINE_VARIETAL,211
291,LACROSSE,WINE_VARIETAL,211
292,SMOKED PORTER,BEER_MICRO,75
293,GOSE,BEER_MICRO,75
294,WILD BERRY,FLAVOR_STYLE,57
295,APRICOT,FLAVOR_STYLE,57
296,PEANUT BUTTER,FLAVOR_STYLE,57
297,GUAVA,FLAVOR_STYLE,57
298,POMEGRANATE,FLAVOR_STYLE,57
299,PASSIONFRUIT,FLAVOR_STYLE,57
300,PEACH,FLAVOR_STYLE,57
301,CINNAMON,FLAVOR_STYLE,57
302,NEURTAL,SPIRITS_BROAD,13
303,AQUAVIT,SPIRITS_BROAD,13
304,CORN WHISKY,SPIRITS_TYPE,77
305,STRAIGHT RYE MALT WHISKY,SPIRITS_TYPE,77
306,STRAIGHT WHISKY,SPIRITS_TYPE,77
307,BLENDED LIGHT WHISKY,SPIRITS_TYPE,77
308,BLENDED BOURBON WHISKY,SPIRITS_TYPE,77
309,BLENDED CORN WHISKY,SPIRITS_TYPE,77
310,BLENDED SCOTCH WHISKY,SPIRITS_TYPE,77
311,DISTILLED GIN,SPIRITS_TYPE,77
312,STRAIGHT WHEAT WHISKY,SPIRITS_TYPE,77
313,RYE LIQUEUR or CORDIAL,SPIRITS_TYPE,77
314,SLIVOVITZ,SPIRITS_TYPE,77
315,ROSÉ,WINE_STYLE,13
316,MADEIRA,WINE_STYLE,13
317,MOSCATEL DE SETUBAL,WINE_STYLE,13
318,GINJO,WINE_SUBSTYLE,18
319,CABERNET SAUVIGNON,WINE_VARIETAL,211
320,CHAMPAGNE,WINE_VARIETAL,211
321,KIR,WINE_VARIETAL,211
322,TRAMINER,WINE_VARIETAL,211
323,GAMAY,WINE_VARIETAL,211
324,SANGIOVESE,WINE_VARIETAL,211
325,CARMENERE,WINE_VARIETAL,211
326,AROMELLA,WINE_VARIETAL,211
327,KERNER,WINE_VARIETAL,211
328,MUSCAT OTTONEL,WINE_VARIETAL,211
329,ACAI,WINE_VARIETAL,211
330,BLAUFRÄNKISCH,WINE_VARIETAL,211
331,SABREVOIS,WINE_VARIETAL,211
332,TREIXADURA,WINE_VARIETAL,211
333,PROSECCO,WINE_VARIETAL,211
334,MARSALA,WINE_VARIETAL,211
335,LIEBFRAUMILCH,WINE_VARIETAL,211
336,SIEGERREBE,WINE_VARIETAL,211
337,MUSCAT CANELLI,WINE_VARIETAL,211
338,BLENDED APPLEJACK,SPIRITS_BROAD,13
339,ARMAGNAC,SPIRITS_TYPE,77
340,KUMMEL,SPIRITS_TYPE,77
341,COGNAC,SPIRITS_TYPE,77
342,BRANDY LIQUEUR or CORDIAL,SPIRITS_TYPE,77
343,AMARETTO,SPIRITS_TYPE,77
344,RED,WINE_STYLE,13
345,VINS DOUX NATURELS,WINE_STYLE,13
346,JUNMAI,WINE_SUBSTYLE,18
347,UME SHU,WINE_SUBSTYLE,18
348,NORTON,WINE_VARIETAL,211
349,TEMPRANILLO,WINE_VARIETAL,211
350,MUSCAT,WINE_VARIETAL,211
351,ELDERBERRY,WINE_VARIETAL,211
352,NEGRETTE,WINE_VARIETAL,211
353,TOURIGA NACIONAL,WINE_VARIETAL,211
354,NEBBIOLO,WINE_VARIETAL,211
355,CRÉMANT,WINE_VARIETAL,211
356,TEROLDEGO,WINE_VARIETAL,211
357,VIDAL BLANC,WINE_VARIETAL,211
358,LÉON MILLOT,WINE_VARIETAL,211
359,CHANCELLOR (NOIR),WINE_VARIETAL,211
360,SCHEUREBE,WINE_VARIETAL,211
361,MADELEINE ANGEVINE,WINE_VARIETAL,211
362,PORT,WINE_STYLE,13
363,RUBY CABERNET,WINE_VARIETAL,211
364,SELTZERS,BEER_STYLE,8
365,OTHER FLAVORED MALT BEVERAGES,BEER_STYLE,8
366,EISBOCK,BEER_MICRO,75
367,DUNKEL,BEER_MICRO,75
368,AMBER or RED LAGER,BEER_MICRO,75
369,INDIA PALE LAGER or IPL,BEER_MICRO,75
370,DUBBEL,BEER_MICRO,75
371,ROGGENBIER or RYE BEER,BEER_MICRO,75
372,HAZY IPA,BEER_MICRO,75
373,PUMPKIN ALE,BEER_MICRO,75
374,CHOCOLATE or COCOA BEER,BEER_MICRO,75
375,ENGLISH IPA,BEER_MICRO,75
376,QUADRUPEL,BEER_MICRO,75
377,BARLEYWINE,BEER_MICRO,75
378,CHILE BEER,BEER_MICRO,75
379,HERB or SPICE BEER,BEER_MICRO,75
380,FLANDERS RED ALE,BEER_MICRO,75
381,LAMBIC or GUEUZE,BEER_MICRO,75
382,ENGLISH STRONG BITTER (ESB),BEER_MICRO,75
383,CREAM ALE,BEER_MICRO,75
384,SHANDY,BEER_MICRO,75
385,BRUT IPA,BEER_MICRO,75
386,DRY STOUT,BEER_MICRO,75
387,SCOTCH ALE,BEER_MICRO,75
388,COFFEE,FLAVOR_STYLE,57
389,PECAN,FLAVOR_STYLE,57
390,STRAWBERRY,FLAVOR_STYLE,57
391,COCONUT,FLAVOR_STYLE,57
392,HONEY,FLAVOR_STYLE,57
393,LAVENDER,FLAVOR_STYLE,57
394,CARAMEL,FLAVOR_STYLE,57
395,ADVOCAAT,SPIRITS_BROAD,13
396,RYE MASH WHISKY,SPIRITS_TYPE,77
397,BLENDED WHISKY,SPIRITS_TYPE,77
398,BLENDED WHEAT WHISKY,SPIRITS_TYPE,77
399,BLENDED IRISH WHISKY,SPIRITS_TYPE,77
400,BLENDED CANADIAN WHISKY,SPIRITS_TYPE,77
401,LEES BRANDY,SPIRITS_TYPE,77
402,ROCK AND RYE,SPIRITS_TYPE,77
403,GIN LIQUEUR or CORDIAL,SPIRITS_TYPE,77
404,CANADIAN WHISKY,SPIRITS_TYPE,77
405,BOURBON LIQUEUR or CORDIAL,SPIRITS_TYPE,77
406,GOLDWASSER,SPIRITS_TYPE,77
407,SHERRY,WINE_STYLE,13
408,LIGHT BODY,WINE_SUBSTYLE,18
409,MEDIUM BODY,WINE_SUBSTYLE,18
410,OAKY,WINE_SUBSTYLE,18
411,SOUSHU,WINE_SUBSTYLE,18
412,JUNSHU,WINE_SUBSTYLE,18
413,DIAGINJO,WINE_SUBSTYLE,18
414,BARBARESCO,WINE_VARIETAL,211
415,FUMÉ BLANC,WINE_VARIETAL,211
416,MOSCATO,WINE_VARIETAL,211
417,AGLIANCO,WINE_VARIETAL,211
418,EDELWEISS,WINE_VARIETAL,211
419,ORTEGA,WINE_VARIETAL,211
420,COLOMBARD,WINE_VARIETAL,211
421,MARSANNE,WINE_VARIETAL,211
422,MONTEPULCIANO,WINE_VARIETAL,211
423,PINOTAGE,WINE_VARIETAL,211
424,TOKAY,WINE_VARIETAL,211
425,VALPOLICELLA,WINE_VARIETAL,211
426,VIOGNIER,WINE_VARIETAL,211
427,ARANDELL,WINE_VARIETAL,211
428,LA CRESCENT,WINE_VARIETAL,211
429,SOVEREIGN OPAL,WINE_VARIETAL,211
430,VERNACCIA,WINE_VARIETAL,211
431,UGNI BLANC,WINE_VARIETAL,211
432,AURORE,WINE_VARIETAL,211
433,GEISENHEIM,WINE_VARIETAL,211
434,MADELEINE SYLVANER,WINE_VARIETAL,211
435,PINOT NOIR,WINE_VARIETAL,211
436,SHERRY,WINE_VARIETAL,211
437,CINSAUT,WINE_VARIETAL,211
438,LEMBERGER,WINE_VARIETAL,211
439,SAUVIGNON GRIS,WINE_VARIETAL,211
440,CHARDONNAY,WINE_VARIETAL,211
441,PETIT VERDOT,WINE_VARIETAL,211
442,LAGREIN,WINE_VARIETAL,211
443,LOUISE SWENSON,WINE_VARIETAL,211
444,MAGNOLIA,WINE_VARIETAL,211
445,MARQUETTE,WINE_VARIETAL,211
446,NERO D’AVOLA,WINE_VARIETAL,211
447,REGENT,WINE_VARIETAL,211
448,TUPELO HONEY MEAD,WINE_VARIETAL,211
449,MÜLLER-THURGAU,WINE_VARIETAL,211
450,DIAMOND,WINE_VARIETAL,211
451,GRIGNOLINO,WINE_VARIETAL,211
452,VINHO VERDE,WINE_VARIETAL,211
453,SYMPHONY,WINE_VARIETAL,211
454,VALVIN MUSCAT,WINE_VARIETAL,211
455,COUNOISE,WINE_VARIETAL,211
456,IMPERIAL RED ALE,BEER_MICRO,75
457,GINGER,FLAVOR_STYLE,57
458,LIME,FLAVOR_STYLE,57
459,HAZELNUT,FLAVOR_STYLE,57
460,SPIRIT WHISKY,SPIRITS_TYPE,77
461,HONJOZO,WINE_SUBSTYLE,18
462,CARIGNAN,WINE_VARIETAL,211
463,CHIANTI CLASSICO,WINE_VARIETAL,211
464,CORTESE,WINE_VARIETAL,211
465,CHELOIS,WINE_VARIETAL,211
466,JOHANNISBERG RIESLING,WINE_VARIETAL,211
467,MUSCADINE,WINE_VARIETAL,211
468,ST. LAURENT,WINE_VARIETAL,211
469,VOUVRAY,WINE_VARIETAL,211
470,L’ACADIE BLANC,WINE_VARIETAL,211
471,NOBLE MUSCADINE,WINE_VARIETAL,211
472,SEYVAL BLANC,WINE_VARIETAL,211
473,SOUZÃO,WINE_VARIETAL,211
474,AUXERROIS,WINE_VARIETAL,211
475,BLANC DE BLANCS,WINE_VARIETAL,211
476,MALVASIA,WINE_VARIETAL,211
